ko,from,name,description,disease_category,drug_recommended
H00030,D02168,Cervical cancer,"Cervical cancer is the second largest cause of cancer-related death in women worldwide, and it occurs following persistent infection, sometimes for decades, with a specific subset of human papillomavirus (HPV) types, particularly types 16, 18, 33 and 42. Experimental studies show that the E6 and E7 genes of these high risk HPVs are oncogenes that deregulate key cell cycle controls. The E6 and E7 oncoproteins bind respectively to the p53 and Retinoblastoma (Rb) tumor suppressor proteins, which are involved in the regulation of growth control. The abnormalities in other cellular genes found in cervical cancer, including mutations in ras family of genes, and amplification in EGFR and ERBB2, may also play an important role in carcinogenesis and the aggressiveness of cervical tumors, although to date the role of most of these genetic abnormalities does not appear to be as important as the role of HPV.",Cancer,Topotecan hydrochloride
H01633,D10267,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Methyldopa and hydrochlorothiazide
H01358,D00107,Atopic dermatitis,"Atopic dermatitis (AD) is a relapsing chronic inflammatory skin disease characterized by eczematous skin lesions and intense pruritus. A genetic defect in the filaggrin (FLG) protein and/or environmental factors are thought to cause AD by disrupting the epidermis. This disruption, in turn, results in contact between immune cells in the dermis and antigens from the external environment leading to intense itching, scratching, and inflammation. Apart from FLG, recent genome-wide association studies (GWASs) have identified many susceptibility loci of atopic dermatitis with genome-wide significance.",Immune system disease,Tacrolimus
H00010,D00754,Multiple myeloma,"Multiple myeloma is a disorder in which malignant plasma cells accumulate, generally derived from one clone in the bone marrow. Intricate interactions occur between the bone-marrow microenvironment and the myeloma cells, frequently causing bone destruction, which in turn stimulates tumor growth. Often it is preceded by a premalignant tumor called monoclonal gammopathy of undetermined significance (MGUS). Multiple oncogenic events have been identified that have contributed to the pathogenesis of myeloma. Among the earliest genetic events are translocations of the immunoglobulin heavy-chain gene locus, which leads to dysregulation of oncogenes at translocation partner regions (cyclin D1 at 11q13, FGFR3/MMSET at 4p16.3, c-MAF at 16q23, and cyclin D3 at 6p21), and deletions of 13q14, the site of a putative tumor suppressor gene. Additional molecular events include epigenetic changes and activation of oncogenes (mutations of N-RAS and K-RAS, and changes in c-MYC), which are usually associated with disease progression.",Cancer,Thalidomide
H00612,D00655,Primary open angle glaucoma,"Primary open angle glaucoma (POAG) is the most prevalent form of glaucoma, and a major cause of irreversible blindness. POAG is often accompanied by ocular hypertension and characterized by progressive loss of retinal ganglion cells, atrophy of the optic nerve, and visual field loss. To date, at least 20 genetic loci for POAG have been reported. And four causative genes (CYP1B1, MYOC, OPTN, and WDR36) are identified from these loci. In addition, recently, heterozygous NTF4 mutation was associated with the phenotype in a small percentage of patients.",Nervous system disease,Methazolamide
H00630,D00973,Rheumatoid arthritis,"Rheumatoid arthritis (RA) is a common autoimmune disease that primarily manifests as chronic inflammatory arthropathy. Persistent synovitis leads to cartilage destruction, bone erosions and periarticular decalcification, subsequently resulting in impaired joint function. It is more common between the ages of 35 and 50 years, affecting three times more women than men. Susceptibility to RA is genetically determined with multiple genes contributing. Inheritance of HLA DRB1 alleles encoding a distinctive five-amino-acid sequence known as the 'shared epitope' (SE) is the best characterized genetic risk factor. The mechanism by which the SE alleles contribute to the development of RA is not very clear. It has been postulated that the presence of these conserved sequences in the antigen-binding groove alters the way antigenic peptides are bound to and presented to T-cell lymphocytes. This, in turn, may trigger abnormal immune responses and lead to RA.",Autoimmune disease,Cortisone acetate
H01507,D00973,Seronegative arthritis,"Seronegative spondyloarthropathies (SpA) represent a group of chronic articular inflammatory diseases which differ from rheumatoid arthritis for the typical absence of rheumatoid factor in serum, and have in common several epidemiological, pathological, clinical, and radiological features. SpA include ankylosing spondylitis (AS), reactive arthritis (ReA), enteropathic (IBD) associated arthritis, psoriatic arthritis (PsA), as well as undifferentiated, and juvenile SpA. The main clinical manifestations include inflammatory back pain, peripheral arthritis, enthesitis, and extra-skeletal manifestations, such as uveitis. Although the cause of SpA is unknown, it is generally accepted that SpA is a multifactorial disease. Genetics (such as HLA-B27), inflammatory cytokines (such as TNF), and more recently the IL-23/IL-17 cytokine pathway have links to pathogenesis. Biologic agents, particularly TNF blockers, are primary treatment options and have been shown to reduce symptomatic inflammation.",Musculoskeletal disease,Cortisone acetate
H01424,D00276,Group A streptococcal pharyngitis,"Group A streptococcal pharyngitis is an acute infection of the oropharynx and/or nasopharynx that is caused by group A streptococcus (Streptococcus pyogenes). Group A streptococcus is responsible for 5-15% of cases of pharyngitis in adults and 20-30% of cases in children, and is the most common cause of bacterial pharyngitis. The disorder is primarily a disease of children between 5 and 15 years of age, and, in temperate climates, it usually occurs in the winter and early spring. The onset of symptoms in patients is often abrupt. In addition to throat pain, symptoms may include fever, chills, malaise, headache, and particularly in younger children abdominal pain, nausea, and vomiting. Cough, coryza, and conjunctivitis are not typical symptoms of streptococcal pharyngitis, and, if present, they suggest an alternative cause such as a viral infection. In most persons, fever resolves within 3-5 days, and throat pain resolves within 1 week, even without specific treatment. Antibiotic treatment reduces the risk of subsequent development of acute rheumatic fever and suppurative complications.",Infectious disease,Clarithromycin
H01709,D00942,Glucocorticoid-induced osteonecrosis,"Glucocorticoid-induced osteonecrosis is a common and severe adverse event. Glucocorticoid use is one of the most important causes of osteonecrosis. In patients receiving long-term therapy, glucocorticoids induce fractures in 30 to 50% and osteonecrosis in 9 to 40%. The pathogenesis of glucocorticoid-induced osteonecrosis is not fully understood but postulated mechanisms include hyperlipidemia, fat emboli and intravascular coagulation that reduce the supply of blood to the bones. Since not all patients who are treated with steroids develop osteonecrosis, the presence of additional risk factors or individual variation of glucocorticoids sensitivity has been suggested. The risks of this disease include advancing age, prolonged duration of treatment, increased daily dosage and cumulative dose, low body mass index, underlying disease, and polymorphisms in the glucocorticoid receptor. Bisphosphonates are first-line options for glucocorticoid-induced osteoporosis and may also be useful in glucocorticoid-induced osteonecrosis. It has been indicated that bisphosphonates may rapidly reduce pain, and delay joint collapse in patients with osteonecrosis.",Musculoskeletal disease,Risedronate sodium
H00412,D10605,Hepatitis B,"Hepatitis B is an infectious disease caused by hepatitis B virus (HBV) belonging to the Hepadnaviridae family of dsDNA-RT viruses. Both acute and chronic hepatitis B can be caused by blood-borne HBV infections. The risk of developing chronic hepatitis B is directly related to the age of first infection, much higher for infants. Chronic hepatitis B may eventaully lead to cirrhosis and hepatocellular carcinoma.",Infectious disease,Tenofovir alafenamide fumarate
